n_config,n_voisin,liaisons
8,10,"[(0, 1), (0, 3), (0, 4), (1, 2)]"
2,12,"[(0, 1), (0, 4), (1, 2), (3, 4)]"
8,11,"[(0, 1), (0, 4), (1, 2), (3, 4)]"
8,9,"[(0, 1), (0, 4), (1, 2), (1, 3), (2, 4)]"
8,10,"[(0, 1), (0, 4), (1, 2), (3, 4)]"
4,11,"[(0, 1), (0, 3), (1, 2), (3, 4)]"
4,10,"[(0, 1), (1, 2), (1, 4), (2, 3)]"
8,9,"[(0, 1), (0, 4), (1, 2), (1, 3)]"
4,10,"[(0, 1), (0, 4), (1, 2), (2, 3)]"
4,10,"[(0, 1), (0, 3), (1, 2), (2, 4)]"
1,8,"[(0, 1), (1, 2), (1, 3), (1, 4)]"
4,9,"[(0, 1), (0, 2), (1, 3), (3, 4)]"
